Offset,MIDI
741.333333,"[47, 49]"
742.666667,[46]
744.0,[47]
746.666667,"[45, 46, 47, 48]"
748.0,[45]
749.333333,[45]
750.666667,[45]
752.0,[45]
753.333333,[47]
754.666667,[45]
757.333333,"[45, 46, 47]"
760.0,"[45, 46]"
761.333333,[46]
762.666667,"[45, 46]"
764.0,[45]
765.333333,[46]
766.666667,[49]
768.0,"[46, 47]"
769.333333,[45]
772.0,[47]
773.333333,"[45, 46, 47, 49]"
776.0,"[46, 47]"
777.333333,[45]
778.666667,"[46, 47]"
780.0,"[46, 47]"
781.333333,[45]
782.666667,[48]
784.0,"[46, 48]"
785.333333,[45]
786.666667,[47]
788.0,[46]
789.333333,"[47, 48]"
790.666667,[47]
792.0,[45]
793.333333,[49]
794.666667,"[45, 49]"
796.0,[46]
797.333333,[47]
800.0,"[45, 47, 49]"
801.333333,[45]
804.0,[45]
805.333333,"[45, 46, 47]"
806.666667,[45]
808.0,[45]
810.666667,"[46, 49]"
813.333333,"[46, 47]"
814.666667,[46]
816.0,"[46, 47]"
817.333333,[45]
818.666667,"[46, 48]"
820.0,[45]
821.333333,"[46, 47, 48]"
822.666667,[45]
824.0,[45]
825.333333,[47]
826.666667,"[45, 46, 47, 49]"
829.333333,"[46, 47]"
830.666667,[45]
832.0,"[47, 49]"
833.333333,[47]
834.666667,[47]
836.0,[48]
837.333333,"[46, 48]"
838.666667,[45]
840.0,"[45, 49]"
841.333333,[46]
842.666667,"[47, 49]"
844.0,[47]
845.333333,[46]
846.666667,[49]
848.0,"[47, 49]"
849.333333,[46]
850.666667,[47]
853.333333,"[45, 46, 47]"
854.666667,[45]
856.0,[45]
857.333333,[45]
858.666667,[45]
861.333333,[45]
864.0,"[45, 46]"
866.666667,"[46, 47]"
868.0,[46]
869.333333,"[45, 46]"
870.666667,[45]
872.0,[46]
873.333333,[46]
874.666667,"[45, 46, 47]"
876.0,[45]
878.666667,[47]
880.0,"[46, 47]"
882.666667,"[46, 47]"
884.0,[45]
885.333333,"[45, 46]"
886.666667,"[45, 47]"
888.0,[45]
889.333333,[48]
890.666667,"[46, 48]"
892.0,[45]
893.333333,"[46, 48]"
894.666667,[46]
896.0,"[45, 46, 47]"
897.333333,[47]
898.666667,[45]
900.0,[49]
901.333333,[49]
902.666667,[46]
904.0,[47]
906.666667,"[45, 46, 47, 48]"
908.0,[45]
910.666667,[45]
912.0,"[45, 46, 47]"
913.333333,[45]
914.666667,[45]
917.333333,"[45, 46]"
920.0,"[45, 46, 47]"
921.333333,[46]
922.666667,"[45, 46]"
924.0,[45]
925.333333,"[46, 48]"
926.666667,[47]
928.0,"[46, 47, 48]"
929.333333,[45]
930.666667,[45]
932.0,[47]
933.333333,"[47, 49]"
936.0,"[46, 47]"
937.333333,[45]
938.666667,"[46, 47]"
940.0,[47]
941.333333,[47]
942.666667,[48]
944.0,"[45, 48]"
945.333333,[45]
946.666667,"[46, 47, 49]"
948.0,[46]
949.333333,[49]
950.666667,[47]
952.0,[46]
953.333333,"[45, 49]"
954.666667,"[47, 49]"
956.0,[46]
957.333333,[47]
960.0,"[45, 46, 47, 49]"
961.333333,[45]
962.666667,[45]
964.0,[45]
965.333333,[45]
966.666667,[47]
968.0,[45]
970.666667,"[45, 46, 47]"
973.333333,"[46, 47]"
974.666667,[46]
976.0,"[45, 46]"
977.333333,[45]
978.666667,[46]
980.0,[48]
981.333333,"[46, 47]"
982.666667,[45]
985.333333,[47]
986.666667,"[46, 47, 48]"
989.333333,"[46, 47]"
990.666667,[45]
992.0,"[45, 46]"
993.333333,"[45, 47]"
994.666667,[45]
996.0,[48]
997.333333,"[46, 48]"
998.666667,[45]
1000.0,[49]
1001.333333,[46]
1002.666667,"[46, 47, 48]"
1004.0,[47]
1005.333333,[45]
1006.666667,"[46, 49]"
1008.0,"[45, 49]"
1009.333333,[46]
1010.666667,[47]
1013.333333,"[45, 47, 49]"
1014.666667,[45]
1017.333333,[45]
1018.666667,"[45, 46, 47]"
1020.0,[47]
1021.333333,[45]
1024.0,"[46, 47]"
1026.666667,"[46, 47]"
1028.0,[46]
1029.333333,"[46, 47]"
1030.666667,[45]
1032.0,"[46, 48]"
1033.333333,[49]
1034.666667,"[45, 47, 48]"
1036.0,[45]
1037.333333,[45]
1038.666667,[47]
1040.0,"[47, 49]"
1042.666667,"[46, 47]"
1044.0,[45]
1045.333333,[49]
1046.666667,"[46, 47]"
1048.0,[47]
1049.333333,[48]
1050.666667,"[46, 48]"
1052.0,[45]
1053.333333,"[47, 49]"
1054.666667,[46]
1056.0,"[47, 49]"
1057.333333,[47]
1058.666667,[46]
1060.0,[49]
1061.333333,"[47, 49]"
1062.666667,[46]
1064.0,[47]
1066.666667,"[45, 47]"
1068.0,[45]
1069.333333,[45]
1070.666667,[45]
1072.0,[45]
1073.333333,[45]
1074.666667,[45]
1077.333333,"[45, 46]"
1080.0,"[45, 46]"
1081.333333,[46]
1082.666667,"[45, 46]"
1084.0,[45]
1085.333333,[46]
1086.666667,[45]
1088.0,"[45, 46, 47]"
1089.333333,[45]
1092.0,[47]
1093.333333,"[45, 46, 47]"
1096.0,"[46, 47]"
1097.333333,[45]
1098.666667,"[45, 46]"
1100.0,[47]
1101.333333,[45]
1102.666667,[48]
1104.0,"[46, 48]"
1105.333333,[45]
1106.666667,[45]
1108.0,[46]
1109.333333,"[46, 47]"
1110.666667,[47]
1112.0,[45]
1113.333333,[49]
1114.666667,[49]
1116.0,[46]
1117.333333,[47]
1120.0,"[45, 46, 47]"
1121.333333,[45]
1124.0,[45]
1125.333333,"[45, 46, 47]"
1128.0,[45]
1130.666667,[46]
1133.333333,"[46, 47]"
1134.666667,[46]
1136.0,"[45, 46]"
1137.333333,[45]
1138.666667,"[46, 48]"
1140.0,[46]
1141.333333,"[46, 47, 48]"
1142.666667,[45]
1144.0,[45]
1145.333333,[47]
1146.666667,"[45, 46, 47]"
1149.333333,"[46, 47]"
1150.666667,[45]
1152.0,"[47, 48]"
1153.333333,"[45, 47]"
1154.666667,[47]
1156.0,[48]
1157.333333,"[45, 48]"
1158.666667,[45]
1160.0,"[46, 49]"
1161.333333,[46]
1162.666667,"[45, 49]"
1164.0,[47]
1165.333333,[46]
1166.666667,[49]
1168.0,"[47, 49]"
1169.333333,[46]
1170.666667,[47]
1173.333333,"[45, 46, 47]"
1174.666667,[45]
1176.0,[45]
1177.333333,[45]
1178.666667,[45]
1180.0,[45]
1181.333333,[45]
1184.0,"[45, 46, 47]"
1186.666667,[46]
1188.0,[46]
1189.333333,"[45, 46]"
1190.666667,[45]
1192.0,[46]
1193.333333,[47]
1194.666667,"[46, 47]"
1196.0,[45]
1198.666667,[47]
1200.0,"[46, 47]"
1202.666667,"[46, 47]"
1204.0,[45]
1205.333333,"[46, 47]"
1206.666667,[47]
1208.0,[45]
1209.333333,[48]
1210.666667,"[46, 48]"
1212.0,[45]
1213.333333,"[46, 47]"
1214.666667,[46]
1216.0,"[47, 48]"
1217.333333,[47]
1218.666667,[45]
1220.0,"[45, 49]"
1221.333333,"[45, 49]"
1222.666667,[46]
1224.0,[47]
1226.666667,"[45, 46, 47, 49]"
1228.0,[45]
1230.666667,[45]
1232.0,"[45, 46, 47]"
1233.333333,[47]
1234.666667,[45]
1237.333333,"[46, 49]"
1240.0,"[45, 46, 47]"
1241.333333,[46]
1242.666667,"[46, 47]"
1244.0,[45]
1245.333333,"[46, 48]"
1246.666667,[48]
1248.0,"[46, 47, 48]"
1249.333333,[45]
1250.666667,[45]
1252.0,[47]
1253.333333,"[46, 47, 48, 49]"
1256.0,"[46, 47]"
1257.333333,[45]
1258.666667,"[47, 49]"
1260.0,"[45, 47]"
1261.333333,[47]
1262.666667,[48]
1264.0,"[46, 48]"
1265.333333,[45]
1266.666667,[49]
1268.0,[46]
1269.333333,"[47, 49]"
1270.666667,[47]
1272.0,[46]
1273.333333,"[46, 49]"
1274.666667,"[47, 49]"
1276.0,[46]
1277.333333,[47]
1280.0,"[45, 46, 47]"
1281.333333,[45]
1282.666667,[45]
1284.0,[45]
1285.333333,[45]
1286.666667,[47]
1288.0,[45]
1290.666667,"[45, 46]"
1293.333333,"[45, 46]"
1294.666667,[46]
1296.0,"[45, 46]"
1297.333333,[45]
1298.666667,[46]
1300.0,[49]
1301.333333,"[45, 46, 47]"
1302.666667,[45]
1305.333333,[47]
1306.666667,"[46, 47, 49]"
1309.333333,"[46, 47]"
1310.666667,[45]
1312.0,"[45, 46]"
1313.333333,"[46, 47]"
1314.666667,[45]
1316.0,[48]
1317.333333,"[46, 48]"
1318.666667,[45]
1320.0,[47]
1321.333333,[46]
