Offset,MIDI
106.0,62
106.666667,61
106.666667,60
106.666667,62
107.0,60
107.333333,60
107.666667,60
108.0,60
108.333333,62
108.666667,60
109.333333,61
109.333333,60
110.0,62
110.0,61
110.333333,61
110.666667,61
110.666667,60
111.0,60
111.333333,61
111.666667,63
112.0,60
112.0,61
112.0,62
112.333333,60
113.0,62
113.333333,61
113.333333,62
113.333333,63
113.333333,60
114.0,61
114.0,62
114.333333,60
114.666667,60
114.666667,61
115.0,62
115.0,60
115.333333,60
115.666667,63
116.0,63
116.0,61
116.333333,60
116.666667,64
117.0,61
117.333333,60
117.333333,61
117.333333,62
117.666667,62
118.0,60
118.333333,64
118.333333,61
118.666667,64
119.0,61
119.333333,62
120.0,64
120.0,62
120.0,60
120.0,61
120.333333,60
121.0,60
121.333333,62
121.333333,60
121.333333,61
121.666667,62
122.0,60
122.666667,61
122.666667,60
123.333333,61
123.333333,62
123.666667,61
124.0,60
124.0,61
124.333333,60
124.666667,61
124.666667,63
125.0,64
125.333333,63
125.333333,62
125.333333,61
125.666667,60
126.0,60
126.333333,62
126.666667,62
126.666667,64
127.333333,62
127.333333,61
127.666667,60
128.0,61
128.0,62
128.333333,61
128.333333,62
128.666667,62
129.0,63
129.333333,63
129.333333,60
129.666667,60
130.0,64
130.0,62
130.333333,61
130.666667,64
131.0,62
131.333333,61
131.666667,64
132.0,62
132.0,64
132.333333,61
132.666667,62
133.333333,60
133.333333,61
133.333333,62
133.666667,60
134.0,60
134.333333,60
134.666667,60
135.0,60
135.333333,60
136.0,60
136.0,62
136.0,61
136.666667,61
136.666667,60
137.0,61
137.333333,60
137.333333,61
137.666667,60
138.0,61
138.333333,60
138.666667,61
138.666667,62
139.0,60
139.666667,62
140.0,60
140.0,62
140.0,61
140.666667,61
140.666667,62
141.0,60
141.333333,60
141.333333,61
141.666667,62
142.0,60
142.333333,63
142.666667,63
142.666667,61
143.0,60
143.333333,60
143.666667,61
144.0,62
144.0,63
144.0,61
144.333333,62
144.666667,60
145.0,64
145.333333,60
145.333333,64
145.666667,61
146.0,62
146.666667,61
146.666667,62
146.666667,60
147.0,60
147.666667,60
148.0,61
148.0,62
148.0,60
148.666667,60
149.333333,62
149.333333,61
150.0,61
150.0,62
150.333333,61
150.666667,61
150.666667,62
151.0,60
151.333333,63
151.333333,61
151.666667,61
152.0,63
152.0,60
152.0,62
152.333333,60
152.666667,60
153.0,62
153.333333,62
153.333333,64
153.333333,61
153.333333,60
154.0,62
154.0,61
154.333333,60
154.666667,64
155.0,60
155.0,62
155.333333,62
155.666667,63
156.0,61
156.0,63
156.333333,60
156.666667,64
156.666667,61
157.0,61
157.333333,62
157.333333,64
157.666667,62
158.0,61
158.333333,64
158.666667,64
158.666667,62
159.0,61
159.333333,62
160.0,61
160.0,60
160.0,62
160.333333,60
160.666667,60
161.0,60
161.333333,60
161.666667,60
162.0,60
162.666667,60
162.666667,61
163.333333,61
163.666667,61
164.0,60
164.0,61
164.333333,60
164.666667,61
165.0,62
165.333333,60
165.333333,61
165.333333,62
165.666667,60
166.333333,62
166.666667,62
166.666667,61
167.333333,61
167.333333,62
167.666667,60
168.0,60
168.0,61
168.333333,62
168.666667,60
169.0,63
169.333333,61
169.333333,63
169.666667,60
170.0,62
170.0,61
170.333333,61
170.666667,61
170.666667,62
171.0,62
171.333333,60
171.666667,60
171.666667,64
172.0,64
172.333333,61
172.666667,62
173.333333,61
173.333333,60
173.333333,62
173.666667,60
174.333333,60
174.666667,62
174.666667,61
174.666667,60
175.0,62
175.333333,60
176.0,61
176.666667,61
176.666667,62
176.666667,60
177.0,61
177.333333,60
177.333333,61
177.666667,60
178.0,61
178.0,63
178.333333,63
178.666667,61
178.666667,63
178.666667,62
179.0,60
179.333333,60
179.666667,62
180.0,62
180.0,61
180.0,63
180.666667,61
180.666667,62
181.0,60
181.333333,63
181.333333,62
181.666667,62
181.666667,60
182.0,62
182.333333,63
182.666667,60
182.666667,63
183.0,60
183.333333,64
183.666667,61
184.0,60
184.0,64
184.333333,62
184.666667,61
185.0,64
185.0,61
185.333333,62
185.333333,64
185.666667,61
186.0,62
186.666667,61
186.666667,63
186.666667,60
