,Type,Channel,Note,Pitch,Velocity,Time,Duration
313,note_on,0,50,--,64,0,0.0
314,note_on,0,53,--,64,0,0.0
315,note_off,0,70,--,0,2048,2.0
316,note_on,0,64,--,64,0,0.0
317,note_off,0,43,--,0,0,0.0
318,note_off,0,46,--,0,0,0.0
319,note_off,0,50,--,0,0,0.0
320,note_off,0,53,--,0,0,0.0
321,note_on,0,42,--,64,0,0.0
322,note_on,0,46,--,64,0,0.0
323,note_on,0,49,--,64,0,0.0
324,note_on,0,52,--,64,0,0.0
325,note_off,0,64,--,0,2048,2.0
326,note_off,0,42,--,0,0,0.0
327,note_off,0,46,--,0,0,0.0
328,note_off,0,49,--,0,0,0.0
329,note_off,0,52,--,0,0,0.0
330,note_on,0,65,--,64,0,0.0
331,note_on,0,41,--,64,0,0.0
332,note_on,0,45,--,64,0,0.0
333,note_on,0,48,--,64,0,0.0
334,note_on,0,52,--,64,0,0.0
335,note_off,0,65,--,0,4096,4.0
336,note_off,0,41,--,0,0,0.0
337,note_off,0,45,--,0,0,0.0
338,note_off,0,48,--,0,0,0.0
339,note_off,0,52,--,0,0,0.0
