,Start,Velocity,Note,Duration
127,57.333333,64,45.4,0.666667
128,58.666667,64,41.6,0.666667
129,58.666667,64,43.7,0.666667
130,58.666667,64,45.4,0.666667
131,58.666667,64,53.6,0.666667
132,60.000000,64,40.0,0.666667
133,60.666667,64,45.4,0.666667
134,61.333333,64,46,0.666667
135,61.333333,64,47.6,0.666667
136,61.333333,64,53.6,0.666667
137,62.000000,64,43.7,0.666667
138,62.666667,64,43.4,0.666667
139,63.333333,64,47.8,0.666667
140,64.000000,64,44.0,0.666667
141,64.000000,64,47.9,0.666667
142,64.000000,64,46.4,0.666667
143,64.666667,64,45,0.666667
144,66.000000,64,43.0,0.666667
145,66.666667,64,44.0,0.666667
146,66.666667,64,48.8,0.666667
147,66.666667,64,43.0,0.666667
148,66.666667,64,40.0,0.666667
149,66.666667,64,47.5,0.666667
150,68.000000,64,41.0,0.666667
151,68.000000,64,43.0,0.666667
152,68.666667,64,46.1,0.666667
153,69.333333,64,41,0.666667
154,69.333333,64,51.2,0.666667
155,70.000000,64,47.5,0.666667
156,70.666667,64,52.7,0.666667
157,71.333333,64,52.6,0.666667
158,72.000000,64,50.2,0.666667
159,72.000000,64,46.4,0.666667
160,72.000000,64,41.0,0.666667
161,72.666667,64,50.9,0.666667
162,73.333333,64,45.4,0.666667
163,73.333333,64,43.7,0.666667
164,74.000000,64,48.5,0.666667
165,74.666667,64,51.2,0.666667
166,74.666667,64,41.3,0.666667
167,74.666667,64,45.5,0.666667
168,75.333333,64,50.6,0.666667
169,76.000000,64,45,0.666667
170,76.666667,64,50.2,0.666667
171,76.666667,64,47.6,0.666667
172,77.333333,64,45.8,0.666667
173,77.333333,64,48.8,0.666667
174,78.000000,64,48.5,0.666667
175,78.666667,64,52.6,0.666667
176,78.666667,64,48.2,0.666667
177,80.000000,64,46,0.666667
178,80.000000,64,48.8,0.666667
179,80.000000,64,43,0.666667
180,80.000000,64,46.4,0.666667
181,80.000000,64,49.0,0.666667
182,80.666667,64,50.6,0.666667
183,82.000000,64,47.8,0.666667
184,82.666667,64,50.0,0.666667
185,82.666667,64,48.8,0.666667
186,82.666667,64,43.4,0.666667
187,83.333333,64,47.5,0.666667
188,84.000000,64,46,0.666667
189,84.000000,64,43.4,0.666667
190,85.333333,64,50.0,0.666667
191,85.333333,64,45.5,0.666667
192,86.666667,64,40.0,0.666667
193,86.666667,64,49.0,0.666667
194,86.666667,64,41,0.666667
195,87.333333,64,50.2,0.666667
196,88.000000,64,50.6,0.666667
197,88.000000,64,51.2,0.666667
198,88.666667,64,43.7,0.666667
199,89.333333,64,43.4,0.666667
200,89.333333,64,50.2,0.666667
201,90.000000,64,50.2,0.666667
202,90.666667,64,46.4,0.666667
203,90.666667,64,47.6,0.666667
204,90.666667,64,45,0.666667
205,91.333333,64,45,0.666667
206,92.000000,64,45.5,0.666667
207,92.666667,64,52.6,0.666667
208,93.333333,64,52.6,0.666667
209,93.333333,64,51.2,0.666667
210,93.333333,64,53.6,0.666667
211,93.333333,64,41.3,0.666667
212,94.666667,64,41.0,0.666667
213,95.333333,64,45.5,0.666667
214,96.000000,64,53.6,0.666667
215,96.666667,64,45.8,0.666667
216,96.666667,64,44.5,0.666667
217,97.333333,64,50.9,0.666667
218,98.000000,64,43.0,0.666667
219,98.666667,64,48.2,0.666667
220,98.666667,64,44.0,0.666667
221,99.333333,64,50.9,0.666667
222,100.000000,64,47.8,0.666667
223,100.666667,64,43.1,0.666667
224,101.333333,64,48.5,0.666667
225,101.333333,64,44.0,0.666667
226,101.333333,64,47.8,0.666667
227,102.000000,64,41,0.666667
228,102.666667,64,47.9,0.666667
229,103.333333,64,45.4,0.666667
230,103.333333,64,50.0,0.666667
231,104.000000,64,48.2,0.666667
232,104.000000,64,46.4,0.666667
233,104.666667,64,48.5,0.666667
234,105.333333,64,48.2,0.666667
235,106.666667,64,40.0,0.666667
236,106.666667,64,43.0,0.666667
237,106.666667,64,43.1,0.666667
238,106.666667,64,44.5,0.666667
239,106.666667,64,44,0.666667
