,Start,Velocity,Note,Duration
382,223.333333,64,38.2,0.666667
383,224.0,64,39.2,0.666667
384,224.666667,64,45.0,0.333333
385,225.0,64,40.0,1.0
386,226.0,64,38.6,0.666667
387,226.666667,64,47.5,0.333333
388,227.0,64,40.6,1.0
389,228.0,64,39.2,0.666667
390,228.666667,64,46.1,0.333333
391,229.0,64,43.4,0.333333
392,229.333333,64,46.0,1.666667
393,231.0,64,38.0,0.333333
394,231.333333,64,47.8,0.666667
395,232.0,64,36.8,0.666667
396,232.666667,64,38.6,0.666666
397,233.333333,64,40.6,0.666667
398,234.0,64,36.5,0.666667
399,234.666667,64,41.6,0.333333
400,235.0,64,43.0,0.333333
401,235.333333,64,38.6,0.666667
402,236.0,64,36.2,0.666667
403,236.666667,64,45.4,0.333333
404,237.0,64,41.0,0.333333
405,237.333333,64,46.4,0.666667
406,238.0,64,41.0,0.666667
407,238.666667,64,41.3,0.66666699999998
408,240.0,64,40.0,0.666667
409,240.666667,64,38.6,0.333333
410,241.0,64,41.0,1.0
411,242.0,64,38.6,1.0
412,243.0,64,38.2,0.333333
413,243.333333,64,38.9,0.666667
414,244.0,64,46.0,1.0
415,245.333333,64,46.0,0.666667
416,246.0,64,47.8,0.666667
417,246.666667,64,44.5,0.666666
418,247.333333,64,43.0,0.666667
419,248.0,64,43.7,0.666667
420,248.666667,64,38.3,0.666666
421,249.333333,64,38.6,0.666667
422,250.0,64,47.5,0.666667
423,250.666667,64,47.6,0.333333
424,251.0,64,40.6,0.333333
425,251.333333,64,45.0,0.666667
426,252.0,64,39.2,0.666667
427,252.666667,64,40.6,0.333333
428,253.0,64,36.2,0.333333
429,253.333333,64,39.2,0.666667
430,254.0,64,47.9,1.000000
431,255.0,64,43.0,0.333333
432,255.333333,64,45.5,1.333334
433,256.666667,64,47.9,0.333333
434,257.0,64,45.0,0.333333
435,257.333333,64,38.0,0.666667
436,258.0,64,38.2,0.666667
437,258.666667,64,36.8,0.333333
438,259.0,64,43.0,0.333333
439,259.333333,64,43.1,0.666667
440,260.0,64,43.0,0.666667
441,260.666667,64,43.1,0.666666
442,261.333333,64,46.4,0.666667
443,262.0,64,45.5,0.666667
444,262.666667,64,40.7,0.333333
445,263.0,64,47.6,0.333333
446,263.333333,64,47.8,0.666667
447,264.0,64,46.4,0.666667
448,264.666667,64,45.5,0.333333
449,265.0,64,40.7,0.333333
450,265.333333,64,45.8,0.666667
451,266.0,64,43.7,0.666667
452,266.666667,64,44.5,0.333333
453,267.0,64,45.4,0.333333
454,267.333333,64,40.4,0.666667
455,268.0,64,41.0,0.666667
456,268.666667,64,45.4,0.333333
457,269.0,64,43.4,0.333333
458,269.333333,64,44.0,0.666667
459,270.0,64,41.0,0.666667
460,270.666667,64,45.4,0.333333
461,271.0,64,50.0,1.0
462,272.0,64,47.6,1.0
463,273.0,64,50.6,0.333333
464,273.333333,64,52.0,0.666667
465,274.0,64,55.0,0.666667
466,274.666667,64,58.0,0.333333
467,275.0,64,59.8,0.333333
468,275.333333,64,53.3,0.666667
469,276.0,64,53.0,0.666667
470,276.666667,64,47.8,0.333333
471,277.0,64,53.0,0.333333
472,277.333333,64,51.2,0.666667
473,278.0,64,52.6,1.0
474,279.333333,64,52.6,1.666667
475,281.0,64,48.5,0.333333
476,281.333333,64,50.6,0.666667
477,282.0,64,45.5,0.666667
478,282.666667,64,46.4,0.333333
479,283.0,64,47.8,0.333333
480,283.333333,64,44.5,0.666667
481,284.0,64,39.2,0.666667
482,284.666667,64,38.2,0.333333
483,285.0,64,45.0,0.333333
484,285.333333,64,39.2,0.666667
485,286.0,64,36.5,0.666667
486,286.666667,64,46.0,0.666666
487,287.333333,64,47.9,1.333334
488,288.666667,64,38.0,0.666666
489,289.333333,64,45.0,0.666667
490,290.0,64,45.8,0.666667
491,290.666667,64,38.9,0.333333
492,291.0,64,38.2,0.333333
493,291.333333,64,46.1,0.666667
494,292.0,64,45.8,1.333333
495,293.333333,64,45.4,0.666667
496,294.0,64,45.5,1.0
497,295.0,64,40.6,0.333333
498,295.333333,64,38.2,0.666667
499,296.0,64,36.5,1.0
500,297.0,64,45.0,0.333333
501,297.333333,64,47.6,0.666667
502,298.0,64,38.9,0.666667
503,298.666667,64,45.5,0.333333
504,299.0,64,40.6,1.0
505,300.0,64,40.0,0.666667
506,300.666667,64,47.8,0.666666
507,301.333333,64,38.6,0.666667
508,302.0,64,38.3,0.666667
509,302.666667,64,38.6,0.333333
510,303.0,64,43.4,0.333333
511,303.333333,64,45.4,0.666667
512,304.0,64,45.5,0.666667
513,304.666667,64,45.0,0.333333
514,305.0,64,47.5,0.333333
515,305.333333,64,43.4,0.666667
516,306.0,64,45.4,0.666667
517,306.666667,64,46.0,0.333333
518,307.0,64,43.0,1.0
519,308.0,64,46.4,0.666667
520,308.666667,64,47.6,0.333333
521,309.0,64,53.0,0.333333
522,309.333333,64,48.8,0.666667
523,310.0,64,43.4,0.666667
524,310.666667,64,38.6,0.333333
525,311.0,64,41.0,0.333333
526,311.333333,64,43.0,0.666667
527,312.0,64,46.4,0.666667
528,312.666667,64,43.1,0.333333
529,313.0,64,38.9,0.333333
530,313.333333,64,43.0,0.666667
531,314.0,64,38.0,0.666667
532,314.666667,64,36.2,0.333333
533,315.0,64,45.4,0.333333
534,315.333333,64,38.6,0.666667
535,316.0,64,41.0,0.666667
536,316.666667,64,40.6,0.333333
537,317.0,64,38.6,0.333333
538,317.333333,64,40.7,0.666667
539,318.0,64,45.5,0.666667
540,318.666667,64,45.8,0.66666700000004
541,320.0,64,45.5,0.666667
542,320.666667,64,41.0,1.333333
543,322.0,64,40.4,0.666667
544,322.666667,64,38.6,0.333333
545,323.0,64,43.0,0.333333
546,323.333333,64,45.0,0.666667
547,324.0,64,46.0,1.0
548,325.0,64,49.0,0.333333
549,325.333333,64,43.1,0.666667
550,326.0,64,46.0,0.666667
551,326.666667,64,40.0,0.666666
552,327.333333,64,40.6,0.666667
553,328.0,64,41.6,0.666667
554,328.666667,64,38.3,0.666666
555,329.333333,64,38.6,0.666667
556,330.0,64,37.0,0.666667
557,330.666667,64,43.1,0.333333
558,331.0,64,40.6,0.333333
559,331.333333,64,45.0,0.666667
560,332.0,64,39.2,0.666667
561,332.666667,64,38.2,0.333333
562,333.0,64,45.8,0.333333
563,333.333333,64,47.5,0.666667
564,334.0,64,46.1,0.666667
565,334.666667,64,40.6,0.333333
566,335.0,64,38.2,0.333333
567,335.333333,64,47.6,0.666667
568,336.0,64,46.0,0.666667
569,336.666667,64,37.0,0.333333
570,337.0,64,45.0,0.333333
571,337.333333,64,36.2,0.666667
572,338.0,64,47.8,0.666667
573,338.666667,64,47.9,0.333333
574,339.0,64,38.2,0.333333
575,339.333333,64,43.1,0.666667
576,340.0,64,43.0,0.666667
577,340.666667,64,38.0,1.333333
578,342.0,64,38.6,0.666667
579,342.666667,64,45.0,0.333333
580,343.0,64,46.1,0.333333
581,343.333333,64,45.4,0.666667
582,344.0,64,46.0,0.666667
583,344.666667,64,45.5,0.666666
584,345.333333,64,45.8,0.666667
585,346.666667,64,44.5,0.333333
586,347.0,64,47.8,0.333333
587,347.333333,64,36.5,0.666667
588,348.0,64,45.8,0.666667
589,348.666667,64,40.6,0.333333
590,349.0,64,38.6,0.333333
591,349.333333,64,38.2,0.666667
592,350.0,64,47.5,0.666667
593,350.666667,64,47.6,0.333333
594,351.0,64,36.5,1.0
595,352.0,64,47.9,1.0
596,353.0,64,38.6,0.333333
597,353.333333,64,47.5,0.666667
598,354.0,64,45.0,0.666667
599,354.666667,64,39.2,0.333333
600,355.0,64,45.4,0.333333
601,355.333333,64,36.2,0.666667
602,356.0,64,36.5,0.666667
603,356.666667,64,40.6,0.333333
604,357.0,64,41.0,0.333333
605,357.333333,64,38.2,0.666667
