,0
204,note_on channel=0 note=79 velocity=64 time=0
205,note_off channel=0 note=79 velocity=0 time=512
206,note_on channel=0 note=77 velocity=64 time=0
207,note_off channel=0 note=50 velocity=0 time=0
208,note_off channel=0 note=53 velocity=0 time=0
209,note_off channel=0 note=57 velocity=0 time=0
210,note_off channel=0 note=60 velocity=0 time=0
211,note_on channel=0 note=50 velocity=64 time=0
212,note_on channel=0 note=53 velocity=64 time=0
213,note_on channel=0 note=57 velocity=64 time=0
214,note_on channel=0 note=59 velocity=64 time=0
215,note_off channel=0 note=77 velocity=0 time=512
216,note_on channel=0 note=76 velocity=64 time=0
217,note_off channel=0 note=76 velocity=0 time=512
218,note_on channel=0 note=74 velocity=64 time=0
219,note_off channel=0 note=74 velocity=0 time=512
220,note_on channel=0 note=72 velocity=64 time=0
221,note_off channel=0 note=72 velocity=0 time=512
222,note_off channel=0 note=50 velocity=0 time=0
223,note_off channel=0 note=53 velocity=0 time=0
224,note_off channel=0 note=57 velocity=0 time=0
225,note_off channel=0 note=59 velocity=0 time=0
226,note_on channel=0 note=69 velocity=64 time=0
227,note_on channel=0 note=43 velocity=64 time=0
228,note_on channel=0 note=46 velocity=64 time=0
229,note_on channel=0 note=50 velocity=64 time=0
230,note_off channel=0 note=69 velocity=0 time=1024
231,note_on channel=0 note=74 velocity=64 time=0
232,note_off channel=0 note=74 velocity=0 time=512
233,note_on channel=0 note=69 velocity=64 time=0
234,note_off channel=0 note=43 velocity=0 time=512
235,note_off channel=0 note=46 velocity=0 time=0
236,note_off channel=0 note=50 velocity=0 time=0
237,note_on channel=0 note=43 velocity=64 time=0
238,note_on channel=0 note=46 velocity=64 time=0
239,note_on channel=0 note=50 velocity=64 time=0
240,note_on channel=0 note=54 velocity=64 time=0
241,note_off channel=0 note=43 velocity=0 time=2048
242,note_off channel=0 note=46 velocity=0 time=0
243,note_off channel=0 note=50 velocity=0 time=0
244,note_off channel=0 note=54 velocity=0 time=0
245,note_on channel=0 note=43 velocity=64 time=0
246,note_on channel=0 note=46 velocity=64 time=0
247,note_on channel=0 note=50 velocity=64 time=0
248,note_on channel=0 note=53 velocity=64 time=0
249,note_off channel=0 note=69 velocity=0 time=1024
250,note_on channel=0 note=69 velocity=64 time=0
