,Velocity,Note,Start,Duration
217,64,29,146.0,1.0
218,64,4,147.0,1.0
219,64,21,148.0,1.0
220,64,8,148.0,1.0
221,64,29,149.0,1.0
222,64,19,150.0,1.0
223,64,5,151.0,1.0
224,64,22,152.0,1.0
225,64,8,152.0,1.0
226,64,19,152.0,1.0
227,64,1,153.0,1.0
228,64,20,154.0,1.0
229,64,11,155.0,1.0
230,64,25,155.0,1.0
231,64,21,156.0,1.0
232,64,16,156.0,1.0
233,64,22,157.0,1.0
234,64,21,158.0,1.0
235,64,0,160.0,1.0
236,64,4,160.0,1.0
237,64,5,160.0,1.0
238,64,9,160.0,1.0
239,64,8,160.0,1.0
240,64,23,160.0,1.0
241,64,12,160.0,1.0
242,64,31,161.0,1.0
243,64,1,162.0,1.0
244,64,11,163.0,1.0
245,64,8,164.0,1.0
246,64,22,164.0,1.0
247,64,28,165.0,1.0
248,64,19,166.0,1.0
249,64,14,166.0,1.0
250,64,1,168.0,1.0
251,64,30,168.0,1.0
252,64,10,170.0,1.0
253,64,17,170.0,1.0
254,64,19,171.0,1.0
255,64,11,172.0,1.0
256,64,14,172.0,1.0
257,64,34,172.0,1.0
258,64,12,173.0,1.0
259,64,13,174.0,1.0
260,64,32,175.0,1.0
261,64,3,176.0,1.0
262,64,7,176.0,1.0
263,64,6,176.0,1.0
264,64,34,176.0,1.0
265,64,10,177.0,1.0
266,64,26,179.0,1.0
267,64,0,180.0,1.0
268,64,34,180.0,1.0
269,64,30,180.0,1.0
270,64,21,182.0,1.0
271,64,11,182.0,1.0
272,64,12,183.0,1.0
273,64,18,184.0,1.0
274,64,14,184.0,1.0
275,64,34,184.0,1.0
276,64,21,185.0,1.0
277,64,9,185.0,1.0
278,64,7,186.0,1.0
279,64,32,187.0,1.0
280,64,23,188.0,1.0
281,64,6,188.0,1.0
282,64,27,189.0,1.0
283,64,19,190.0,1.0
284,64,22,190.0,1.0
285,64,20,191.0,1.0
286,64,8,192.0,1.0
287,64,20,192.0,1.0
288,64,25,193.0,1.0
289,64,10,194.0,1.0
290,64,4,195.0,1.0
291,64,16,196.0,1.0
292,64,33,197.0,1.0
293,64,4,198.0,1.0
