Offset,Midi
106.0,35
106.0,44
106.0,60
106.25,60
106.5,35
106.75,76
106.75,35
107.0,35
107.0,76
107.0,44
107.25,60
107.25,35
107.5,60
107.5,44
107.5,35
107.75,35
107.75,44
108.0,76
108.0,60
108.0,44
108.25,44
108.25,60
108.5,35
108.75,80
108.75,60
109.0,60
109.0,35
109.0,80
109.25,44
109.5,60
109.5,44
110.0,60
110.0,35
110.0,44
110.25,35
110.25,44
110.75,60
110.75,35
111.0,60
111.0,44
111.0,35
111.5,35
111.5,44
112.0,44
112.0,60
112.5,44
112.5,35
112.5,60
112.75,44
113.0,60
113.0,44
113.25,35
113.5,35
113.5,44
113.5,76
113.75,44
114.0,76
114.0,60
114.0,44
114.0,35
114.25,35
114.5,35
114.5,60
114.75,60
114.75,44
115.0,35
115.0,80
115.0,44
115.0,60
115.5,44
115.5,60
115.5,35
115.75,44
115.75,35
116.0,35
116.0,80
116.25,60
116.25,35
116.5,60
116.5,44
116.75,76
116.75,35
117.0,44
117.0,76
117.25,60
117.25,35
117.5,44
117.5,60
117.5,80
117.75,35
117.75,44
118.0,60
118.0,44
118.0,35
118.0,80
118.25,44
118.25,60
118.5,44
118.75,80
118.75,60
119.0,80
119.0,60
119.0,35
119.25,44
119.5,60
120.0,60
120.0,35
120.0,44
120.25,44
120.25,35
120.5,44
120.5,35
120.75,60
120.75,35
121.0,44
121.0,35
121.25,35
121.5,60
121.5,44
121.5,35
122.0,60
122.0,44
122.0,35
122.5,35
122.5,44
122.75,44
123.0,35
123.0,44
123.0,60
123.25,35
123.5,44
123.75,60
123.75,44
124.0,60
124.0,44
124.0,35
124.25,35
124.75,44
124.75,60
125.0,60
125.0,44
125.0,35
125.5,60
125.5,35
125.5,44
125.75,35
125.75,44
126.0,60
126.0,35
126.0,44
126.25,60
126.5,35
126.75,76
126.75,35
127.0,44
127.0,76
127.25,60
127.25,35
127.5,44
127.5,35
127.5,60
127.75,35
127.75,44
128.0,44
128.0,60
128.25,60
128.25,44
128.5,35
128.75,60
128.75,35
128.75,44
128.75,80
129.0,35
129.0,80
129.25,44
129.5,44
129.5,60
130.0,35
130.0,44
130.0,60
130.25,44
130.25,35
130.75,60
130.75,35
131.0,35
131.0,44
131.0,60
131.25,60
131.5,44
131.5,35
132.0,44
132.0,60
132.5,44
132.5,35
132.5,60
132.75,44
133.0,35
133.0,44
133.0,60
133.25,35
133.5,44
133.5,35
133.5,76
133.75,76
133.75,35
134.0,76
134.0,60
134.0,44
134.0,35
134.25,35
134.5,35
134.5,60
134.75,44
134.75,60
135.0,76
135.0,60
135.0,35
135.0,44
135.5,35
135.5,60
135.5,44
135.75,35
135.75,44
136.0,76
136.0,44
136.0,60
136.25,60
136.25,35
136.5,44
136.5,60
136.75,35
136.75,76
137.0,35
137.0,44
137.0,76
137.25,35
137.25,60
137.5,60
137.5,80
137.75,35
137.75,44
138.0,35
138.0,60
138.0,80
138.25,44
138.25,60
138.5,44
138.75,35
138.75,60
138.75,44
138.75,80
139.0,44
139.0,35
139.0,80
139.0,60
139.25,44
139.5,60
140.0,60
140.0,35
140.0,76
140.0,44
140.25,44
140.25,35
140.5,44
140.5,35
140.75,60
140.75,35
141.0,35
141.25,60
141.25,44
141.5,35
141.5,44
141.5,60
142.0,44
142.0,35
142.0,60
142.5,35
142.5,44
142.75,44
143.0,60
143.0,44
143.0,35
143.25,35
143.5,44
143.75,60
143.75,80
144.0,44
144.0,60
144.25,35
144.75,60
144.75,44
145.0,80
145.0,35
145.0,44
145.0,60
145.5,44
145.5,35
145.5,60
145.75,35
145.75,44
146.0,60
146.0,44
146.25,60
146.25,44
146.5,35
146.75,35
146.75,76
147.0,76
147.0,44
147.0,35
147.25,60
147.25,35
147.5,44
147.5,60
147.75,35
147.75,44
148.0,60
148.0,44
148.0,76
148.25,44
148.25,60
148.5,35
148.75,60
148.75,80
149.0,80
149.0,35
149.0,60
149.25,44
149.5,44
149.5,60
150.0,60
150.0,35
150.0,80
150.25,35
150.25,44
150.75,35
150.75,60
151.0,44
151.0,60
151.0,35
151.25,35
151.25,44
151.5,44
151.5,35
152.0,44
152.0,35
152.0,80
152.0,60
152.5,35
152.5,60
152.5,44
152.75,44
153.0,44
153.0,60
153.25,35
153.5,76
153.5,35
153.5,44
153.75,60
153.75,35
154.0,76
154.0,44
154.0,60
154.25,35
154.5,35
154.5,60
154.75,60
154.75,44
155.0,80
155.0,60
155.0,35
155.0,44
155.5,35
155.5,60
155.5,44
155.75,35
155.75,44
156.0,80
156.0,35
156.0,60
156.25,60
156.5,60
156.5,44
156.75,35
156.75,76
157.0,44
157.0,76
157.25,35
157.25,60
157.5,35
157.5,44
157.5,80
157.5,60
157.75,35
157.75,44
158.0,35
158.0,80
158.0,60
158.25,60
158.25,44
158.5,44
158.75,60
158.75,80
159.0,80
159.0,35
159.0,60
159.25,44
159.5,60
160.0,60
160.0,44
160.0,35
160.25,44
160.25,35
160.5,44
160.5,35
160.75,35
160.75,60
161.0,44
161.0,35
161.5,44
161.5,60
161.5,35
162.0,60
162.0,35
162.0,44
162.5,35
162.5,60
162.5,44
162.75,44
163.0,35
163.0,44
163.0,60
163.25,35
163.5,44
163.75,44
164.0,44
164.0,60
164.0,35
164.25,35
164.75,44
164.75,60
165.0,60
165.0,44
165.0,35
165.5,35
165.5,44
165.5,60
165.75,44
165.75,35
166.0,44
166.0,35
166.0,60
166.25,35
166.25,60
166.5,35
166.75,76
166.75,35
167.0,44
167.0,76
167.25,35
167.25,60
167.5,35
167.5,44
167.5,76
167.75,35
167.75,44
168.0,60
168.0,35
168.0,44
168.25,44
168.25,60
168.5,35
168.75,80
168.75,60
169.0,35
169.0,80
169.25,44
169.5,44
169.5,60
170.0,35
170.0,76
170.0,60
170.0,44
170.25,44
170.25,35
170.75,60
170.75,35
171.0,44
171.0,60
171.0,35
171.25,35
171.5,35
171.5,44
172.0,60
172.0,44
172.0,35
172.5,35
172.5,44
172.5,60
172.75,44
173.0,35
173.0,60
173.0,44
173.25,35
173.5,76
173.5,44
173.5,35
173.75,44
173.75,60
174.0,44
174.0,60
174.0,76
174.25,35
174.5,35
174.5,60
174.75,44
174.75,60
175.0,80
175.0,60
175.5,44
175.5,60
175.5,35
175.75,35
175.75,44
176.0,44
176.0,60
176.25,60
176.5,60
176.5,44
176.75,35
176.75,76
177.0,35
177.0,76
177.0,44
177.25,60
177.25,35
177.5,80
177.5,35
177.5,44
177.5,60
177.75,35
177.75,44
178.0,35
178.0,80
178.25,60
178.25,44
178.5,44
178.75,35
178.75,44
178.75,80
178.75,60
179.0,60
179.0,80
179.0,44
179.0,35
179.25,44
179.5,60
180.0,80
180.0,35
180.0,44
180.0,60
180.25,35
180.25,44
180.5,35
180.5,44
180.75,60
180.75,35
181.0,35
181.25,60
181.5,60
181.5,35
181.5,44
182.0,44
182.0,35
182.0,60
182.5,44
182.5,35
182.5,60
182.75,44
183.0,35
183.0,60
183.0,44
183.25,35
183.5,44
183.75,35
183.75,76
184.0,44
184.0,60
184.25,35
184.75,60
184.75,44
185.0,60
185.0,35
185.0,76
185.0,44
185.5,35
185.5,60
185.5,44
185.75,44
185.75,35
186.0,35
186.0,60
186.0,44
186.25,60
186.25,35
186.5,35
186.75,76
186.75,35
187.0,76
187.0,35
187.0,44
187.25,35
187.25,60
187.5,60
187.5,80
187.75,35
187.75,44
188.0,76
188.0,60
188.0,44
188.25,60
188.25,44
188.5,35
188.75,60
188.75,80
188.75,35
188.75,44
189.0,80
189.0,60
189.0,35
189.25,44
189.5,60
189.5,44
190.0,44
190.0,80
190.0,60
190.0,35
190.25,35
190.25,44
190.75,60
190.75,35
191.0,44
191.0,60
191.0,35
191.25,60
191.25,44
191.5,35
191.5,44
192.0,44
192.0,60
192.5,44
192.5,35
192.5,60
192.75,44
193.0,60
193.0,44
193.25,35
193.5,76
193.5,44
193.5,35
193.75,60
193.75,80
194.0,76
194.0,35
194.0,60
194.0,44
194.25,35
194.5,60
194.5,35
194.75,44
194.75,60
195.0,80
195.0,60
195.0,35
195.5,60
195.5,35
195.5,44
195.75,35
195.75,44
196.0,35
196.0,80
196.25,44
196.25,60
196.5,60
196.5,44
196.75,35
196.75,76
197.0,44
197.0,76
197.25,35
197.25,60
197.5,80
197.5,60
197.75,44
197.75,35
198.0,44
198.0,60
198.0,35
198.0,80
198.25,44
198.25,60
198.5,44
198.75,80
198.75,60
199.0,35
199.0,60
199.0,80
199.25,44
199.5,60
200.0,60
200.0,35
200.25,35
200.25,44
200.5,44
200.5,35
200.75,60
200.75,35
201.0,44
201.0,35
201.25,35
201.25,44
201.5,35
201.5,60
201.5,44
202.0,60
202.0,35
202.0,44
202.5,44
202.5,35
202.75,44
203.0,44
203.0,35
203.0,60
203.25,35
203.5,44
203.75,35
203.75,60
204.0,60
204.0,35
204.0,44
204.25,35
204.75,60
204.75,44
205.0,60
205.0,44
205.0,35
205.5,44
205.5,60
205.5,35
205.75,35
205.75,44
206.0,60
206.0,44
206.0,35
206.25,60
206.5,35
206.75,76
206.75,35
207.0,44
207.0,76
207.25,35
207.25,60
207.5,60
207.5,44
207.5,35
207.75,44
207.75,35
208.0,44
208.0,60
208.25,60
208.25,44
208.5,35
208.75,80
208.75,60
209.0,35
209.0,80
209.25,44
209.5,60
209.5,44
210.0,35
210.0,60
210.0,44
210.25,44
210.25,35
210.75,35
210.75,60
211.0,35
211.0,44
211.0,60
211.5,44
211.5,35
212.0,60
212.0,44
212.5,60
212.5,35
212.5,44
212.75,44
213.0,35
213.0,44
213.0,60
213.25,35
213.5,35
213.5,44
213.5,76
213.75,44
214.0,60
214.0,76
214.0,35
214.0,44
214.25,35
214.5,35
214.5,60
214.75,44
214.75,60
215.0,60
215.0,35
215.0,44
215.5,44
215.5,60
215.5,35
215.75,35
215.75,44
216.0,76
216.0,44
216.0,60
216.25,35
216.25,60
216.5,44
216.5,60
216.75,35
216.75,76
217.0,44
217.0,35
217.0,76
217.25,60
217.25,35
217.5,80
217.5,44
217.5,60
217.75,44
217.75,35
218.0,60
218.0,80
218.0,35
218.25,60
218.25,44
218.5,44
218.75,60
218.75,80
219.0,80
219.0,35
219.0,60
219.0,44
219.25,44
219.5,60
220.0,35
220.0,44
220.0,60
220.25,44
220.25,35
220.5,35
220.5,44
220.75,35
220.75,60
221.0,35
221.25,35
221.5,44
221.5,35
221.5,60
222.0,44
222.0,60
222.0,35
222.5,44
222.5,35
222.75,44
223.0,35
223.0,44
223.0,60
223.25,35
223.5,44
223.75,44
223.75,60
224.0,60
224.0,44
224.25,35
224.75,60
224.75,44
225.0,44
225.0,35
225.0,60
225.5,44
225.5,35
225.5,60
225.75,44
225.75,35
226.0,44
226.0,60
226.25,60
226.5,35
226.75,76
226.75,35
227.0,35
227.0,44
227.0,76
227.25,35
227.25,60
227.5,60
227.5,44
227.5,35
227.75,35
227.75,44
228.0,60
228.0,44
228.0,76
228.25,44
228.25,60
228.5,35
228.75,35
228.75,44
228.75,80
228.75,60
229.0,35
229.0,80
229.0,60
229.25,44
229.5,60
229.5,44
230.0,60
230.0,35
230.0,44
230.0,80
230.25,35
230.25,44
230.75,60
230.75,35
231.0,44
231.0,35
231.0,60
231.25,60
231.5,35
231.5,44
232.0,44
232.0,80
232.0,60
232.0,35
232.5,44
232.5,35
232.5,60
232.75,44
233.0,60
233.0,44
233.25,35
233.5,44
233.5,76
233.5,35
233.75,76
233.75,35
234.0,44
234.0,60
234.0,76
234.25,35
234.5,60
234.5,35
234.75,60
234.75,44
235.0,80
235.0,60
235.0,76
235.0,44
235.5,35
235.5,44
235.5,60
235.75,35
235.75,44
236.0,60
236.0,80
236.0,35
236.25,60
236.25,35
236.5,44
236.5,60
236.75,76
236.75,35
237.0,76
237.0,44
237.25,60
237.25,35
237.5,80
237.5,60
237.75,35
237.75,44
238.0,35
238.0,80
238.0,60
238.25,44
238.25,60
238.5,44
238.75,60
238.75,80
238.75,44
238.75,35
239.0,60
239.0,35
239.0,80
239.25,44
239.5,60
240.0,44
240.0,60
240.0,35
240.25,35
240.25,44
240.5,44
240.5,35
240.75,60
240.75,35
241.0,44
241.0,35
241.25,44
241.25,60
241.5,44
241.5,35
241.5,60
242.0,35
242.0,44
242.0,60
242.5,44
242.5,35
242.75,44
243.0,60
243.0,35
243.0,44
243.25,35
243.5,44
243.75,60
243.75,80
244.0,35
244.0,60
244.0,44
244.25,35
244.75,60
244.75,44
245.0,44
245.0,35
245.0,60
245.0,80
245.5,60
245.5,44
245.5,35
245.75,44
245.75,35
246.0,35
246.0,60
246.0,44
246.25,44
246.25,60
246.5,35
246.75,35
246.75,76
247.0,76
247.0,44
247.25,60
247.25,35
247.5,44
247.5,60
247.75,35
247.75,44
248.0,35
248.0,44
248.0,60
248.25,44
248.25,60
248.5,35
248.75,80
248.75,60
249.0,80
249.0,35
249.25,44
249.5,60
249.5,44
250.0,60
250.0,35
250.0,44
250.25,44
250.25,35
250.75,60
250.75,35
251.0,44
251.0,35
251.0,60
251.25,35
251.25,44
251.5,35
251.5,44
252.0,35
252.0,44
252.0,60
252.5,35
252.5,60
252.5,44
252.75,44
253.0,60
253.0,44
253.0,35
253.25,35
253.5,35
253.5,76
253.5,44
253.75,35
253.75,60
254.0,60
254.0,76
254.0,44
254.25,35
254.5,35
254.5,60
254.75,60
254.75,44
255.0,44
255.0,35
255.0,60
255.5,44
255.5,60
255.5,35
255.75,44
255.75,35
256.0,60
256.0,44
256.25,60
256.5,60
256.5,44
256.75,76
256.75,35
257.0,76
257.0,35
257.0,44
257.25,35
257.25,60
257.5,80
257.5,44
257.5,60
257.5,35
257.75,35
257.75,44
258.0,35
258.0,80
258.25,44
258.25,60
258.5,44
258.75,60
258.75,80
259.0,44
259.0,35
259.0,60
259.0,80
259.25,44
259.5,60
260.0,60
260.0,35
260.0,44
260.25,44
260.25,35
260.5,35
260.5,44
260.75,35
260.75,60
261.0,35
261.5,44
261.5,60
261.5,35
262.0,44
262.0,60
262.0,35
262.5,44
262.5,35
262.5,60
262.75,44
263.0,44
263.0,60
263.0,35
263.25,35
263.5,44
263.75,44
264.0,44
264.0,60
264.25,35
264.75,60
264.75,44
265.0,60
265.0,35
265.0,44
265.5,60
265.5,35
265.5,44
265.75,35
265.75,44
266.0,60
266.0,35
266.0,44
266.25,35
266.25,60
266.5,35
266.75,35
266.75,76
267.0,76
267.0,44
267.0,35
267.25,60
267.25,35
267.5,44
267.5,35
267.5,76
267.75,44
267.75,35
268.0,60
268.0,44
268.0,76
268.25,60
268.25,44
268.5,35
268.75,60
268.75,80
269.0,60
269.0,80
269.0,35
269.25,44
269.5,60
269.5,44
270.0,60
270.0,35
270.0,44
270.0,76
270.25,44
270.25,35
270.75,35
270.75,60
271.0,44
271.0,35
271.0,60
271.25,35
271.5,44
271.5,35
272.0,44
272.0,60
272.5,35
272.5,44
272.5,60
272.75,44
273.0,44
273.0,60
273.25,35
273.5,35
273.5,76
273.5,44
273.75,44
273.75,60
274.0,60
274.0,35
274.0,76
274.0,44
274.25,35
274.5,35
274.5,60
274.75,44
274.75,60
275.0,80
275.0,60
275.5,60
275.5,35
275.5,44
275.75,35
275.75,44
276.0,80
276.0,35
276.25,60
276.5,44
276.5,60
276.75,35
276.75,76
277.0,44
277.0,76
277.25,60
277.25,35
277.5,35
277.5,60
277.5,44
277.5,80
277.75,35
277.75,44
278.0,35
278.0,60
278.0,80
278.0,44
278.25,44
278.25,60
278.5,44
278.75,44
278.75,60
278.75,35
278.75,80
279.0,35
279.0,80
279.0,60
279.25,44
279.5,60
280.0,44
280.0,76
280.0,35
280.0,60
280.25,35
280.25,44
280.5,44
280.5,35
280.75,35
280.75,60
281.0,35
281.0,44
281.25,60
281.5,35
281.5,60
281.5,44
282.0,35
282.0,44
282.0,60
282.5,60
282.5,44
282.5,35
282.75,44
283.0,60
283.0,35
283.0,44
283.25,35
283.5,44
283.75,35
283.75,76
284.0,35
284.0,60
284.0,44
284.25,35
284.75,60
284.75,44
285.0,76
285.0,60
285.0,35
285.0,44
285.5,44
285.5,35
285.5,60
285.75,44
285.75,35
286.0,44
286.0,35
286.0,60
286.25,35
286.25,60
286.5,35
286.75,76
286.75,35
287.0,76
287.0,44
287.25,35
287.25,60
287.5,80
287.5,60
287.75,35
287.75,44
288.0,44
288.0,60
288.25,60
288.25,44
288.5,35
288.75,80
288.75,44
288.75,35
288.75,60
289.0,35
289.0,80
289.25,44
289.5,60
289.5,44
290.0,80
290.0,35
290.0,60
290.0,44
290.25,35
290.25,44
290.75,35
290.75,60
291.0,35
291.0,44
291.0,60
291.25,60
291.25,44
291.5,44
291.5,35
292.0,60
292.0,44
292.5,35
292.5,60
292.5,44
292.75,44
293.0,44
293.0,60
293.0,35
293.25,35
293.5,76
293.5,35
293.5,44
293.75,60
293.75,80
294.0,44
294.0,60
294.0,35
294.0,76
294.25,35
294.5,60
294.5,35
294.75,44
294.75,60
295.0,44
295.0,80
295.0,35
295.0,60
295.5,35
295.5,44
295.5,60
295.75,35
295.75,44
296.0,60
296.0,44
296.0,76
296.25,44
296.25,60
296.5,44
296.5,60
296.75,76
296.75,35
297.0,44
297.0,35
297.0,76
297.25,35
297.25,60
297.5,60
297.5,80
297.75,35
297.75,44
298.0,60
298.0,80
298.0,35
298.25,60
298.25,44
298.5,44
298.75,60
298.75,80
299.0,80
299.0,35
299.0,60
